:@computed_region_5kre_ccpb,:@computed_region_gwq4_fjxs,:@computed_region_s6p5_2pgr,crimecode,crimedate,crimetime,description,district,inside_outside,latitude,location,location_1,location_1_address,location_1_city,location_1_state,location_1_zip,longitude,neighborhood,post,premise,total_incidents,weapon
8,129,27935,5A,2017-09-27T00:00:00.000,16:55:00,BURGLARY,SOUTHEASTERN,,39.29312,3500 NOBLE ST,POINT (-76.56813 39.29312),,,,,-76.56813,Baltimore Highlands,223,,1,
159,9,27632,5A,2017-09-26T00:00:00.000,12:00:00,BURGLARY,SOUTHERN,I,39.28429,300 S CALHOUN ST,POINT (-76.63935 39.28429),,,,,-76.63935,New Southwest/Mount Clare,935,ROW/TOWNHO,1,
30,131,27935,4E,2017-09-24T00:00:00.000,19:40:00,COMMON ASSAULT,SOUTHEASTERN,I,39.27719,3500 BOSTON ST,POINT (-76.56734 39.27719),,,,,-76.56734,Canton,232,CONVENIENC,1,HANDS
141,123,27935,5A,2017-09-26T00:00:00.000,18:58:00,BURGLARY,SOUTHEASTERN,I,39.29615,400 N GLOVER ST,POINT (-76.58003 39.29615),,,,,-76.58003,McElderry Park,221,ROW/TOWNHO,1,
56,41,27297,6E,2017-09-29T00:00:00.000,11:45:00,LARCENY,WESTERN,O,39.30824,1800 ASHBURTON ST,POINT (-76.66223 39.30824),,,,,-76.66223,Coppin Heights/Ash-Co-Eas,723,STREET,1,
30,114,27935,3D,2017-09-30T00:00:00.000,14:23:00,ROBBERY - COMMERCIAL,SOUTHEASTERN,I,39.28416,2800 FOSTER AVE,POINT (-76.57703 39.28416),,,,,-76.57703,Canton,232,DRUG STORE,1,
36,9,27632,5D,2017-09-25T00:00:00.000,0:24:00,BURGLARY,SOUTHERN,I,39.28521,1800 W PRATT ST,POINT (-76.6451 39.28521),,,,,-76.6451,Carrollton Ridge,934,GROCERY/CO,1,
184,3,13645,4E,2017-09-27T00:00:00.000,17:30:00,COMMON ASSAULT,CENTRAL,O,39.28436,CONWAY ST & LIGHT ST,POINT (-76.61332 39.28436),,,,,-76.61332,Inner Harbor,113,STREET,1,HANDS
149,134,27935,4E,2017-04-10T00:00:00.000,22:26:00,COMMON ASSAULT,SOUTHEASTERN,O,39.27873,1300 DREW ST,POINT (-76.54318 39.27873),,,,,-76.54318,Medford,233,ALLEY,1,HANDS
197,79,27632,6D,2017-09-30T00:00:00.000,16:00:00,LARCENY FROM AUTO,WESTERN,O,39.28937,FAYETTE ST & N PULASKI ST,POINT (-76.65015 39.28937),,,,,-76.65015,Penrose/Fayette Street Ou,714,STREET,1,
31,130,27935,3AK,2017-09-30T00:00:00.000,3:57:00,ROBBERY - STREET,SOUTHEASTERN,O,39.28686,4100 EASTERN AVE,POINT (-76.56228 39.28686),,,,,-76.56228,Canton Industrial Area,242,STREET,1,KNIFE
93,225,27291,8H,2017-08-27T00:00:00.000,21:00:00,ARSON,NORTHEASTERN,O,39.35417,5900 BERTRAM AVE,POINT (-76.55013 39.35417),,,,,-76.55013,Glenham-Belhar,425,STREET,1,
208,60,27295,5F,2017-09-18T00:00:00.000,6:00:00,BURGLARY,NORTHWESTERN,,39.35317,6100 REISTERSTOWN RD,POINT (-76.69812 39.35317),,,,,-76.69812,Reisterstown Station,631,,1,
242,101,27301,7A,2017-09-21T00:00:00.000,7:00:00,AUTO THEFT,CENTRAL,O,39.30316,1600 PENNSYLVANIA AVE,POINT (-76.63423 39.30316),,,,,-76.63423,Upton,123,STREET,1,
54,190,27307,6D,2016-10-11T00:00:00.000,2:49:00,LARCENY FROM AUTO,NORTHEASTERN,O,39.32543,1900 E 30TH ST,POINT (-76.58902 39.32543),,,,,-76.58902,Coldstream Homestead Mont,411,STREET,1,
248,225,27291,6E,2017-09-24T00:00:00.000,0:00:00,LARCENY,NORTHEASTERN,O,39.34584,AV & HOLDER AV,POINT (-76.5587 39.34584),,,,,-76.5587,Waltherson,426,STREET,1,
232,283,27295,7A,2017-09-23T00:00:00.000,23:16:00,AUTO THEFT,NORTHWESTERN,O,39.3386,4300 REISTERTOWN RD,POINT (-76.66774 39.3386),,,,,-76.66774,Towanda-Grantley,613,STREET,1,
106,88,27632,4E,2017-09-29T00:00:00.000,23:13:00,COMMON ASSAULT,WESTERN,,39.29521,1700 EDMONDSON AVE,POINT (-76.6446 39.29521),,,,,-76.6446,Harlem Park,713,,1,HANDS
9,118,27935,6D,2017-09-24T00:00:00.000,20:00:00,LARCENY FROM AUTO,SOUTHEASTERN,O,39.29223,2900 E BALTIMORE ST,POINT (-76.57534 39.29223),,,,,-76.57534,Patterson Park Neighborho,222,STREET,1,
65,6,13645,6C,2017-09-28T00:00:00.000,15:30:00,LARCENY,CENTRAL,I,39.29175,200 HOLLIDAY ST,POINT (-76.61033 39.29175),,,,,-76.61033,Downtown,111,UNKNOWN,1,
152,153,26956,4D,2016-11-14T00:00:00.000,20:40:00,AGG. ASSAULT,EASTERN,I,39.30416,1100 N COLLINGTON AVE,POINT (-76.58703 39.30416),,,,,-76.58703,Middle East,322,ROW/TOWNHO,1,HANDS
6,145,13987,6E,2017-09-20T00:00:00.000,0:00:00,LARCENY,NORTHEASTERN,O,39.30727,5000 WRIGHT AVE,POINT (-76.5563 39.30727),,,,,-76.5563,Armistead Gardens,433,YARD,1,
6,145,13987,4E,2017-03-17T00:00:00.000,2:30:00,COMMON ASSAULT,NORTHEASTERN,I,39.30608,5000 WRIGHT AVE,POINT (-76.55595 39.30608),,,,,-76.55595,Armistead Gardens,433,ROW/TOWNHO,1,HANDS
36,279,27632,6J,2017-09-26T00:00:00.000,11:58:00,LARCENY,SOUTHWESTERN,I,39.28271,400 S SMALLWOOD ST,POINT (-76.65114 39.28271),,,,,-76.65114,Carrollton Ridge,841,ROW/TOWNHO,1,
