:@computed_region_5kre_ccpb,:@computed_region_gwq4_fjxs,:@computed_region_s6p5_2pgr,crimecode,crimedate,crimetime,description,district,inside_outside,latitude,location,location_1,location_1_address,location_1_city,location_1_state,location_1_zip,longitude,neighborhood,post,premise,total_incidents,weapon
274,122,27954,5A,2017-09-28T00:00:00.000,7:00:00,BURGLARY,EASTERN,I,39.29588,400 N COLLINGTON AVE,POINT (-76.58651 39.29588),,,,,-76.58651,CARE,321,ROW/TOWNHO,1,
181,145,13987,4E,2017-09-30T00:00:00.000,22:06:00,COMMON ASSAULT,EASTERN,O,39.30002,4800 E MONUMENT ST,POINT (-76.55659 39.30002),,,,,-76.55659,Orangeville,333,STREET,1,HANDS
157,40,27295,7A,2017-09-28T00:00:00.000,23:10:00,AUTO THEFT,WESTERN,O,39.31679,FALLS PY & REISTERSTOWN RD,POINT (-76.65061 39.31679),,,,,-76.65061,Parkview/Woodbrook,731,STREET,1,
271,257,14009,5D,2017-09-25T00:00:00.000,21:23:00,BURGLARY,NORTHERN,I,39.36407,5900 YORK RD,POINT (-76.60992 39.36407),,,,,-76.60992,Belvedere,523,RESTAURANT,1,
16,180,27307,3AF,2017-09-30T00:00:00.000,6:30:00,ROBBERY - STREET,NORTHERN,O,39.32598,900 GORSUCH AVE,POINT (-76.60342 39.32598),,,,,-76.60342,Better Waverly,513,STREET,1,FIREARM
206,258,28564,7A,2017-04-16T00:00:00.000,19:30:00,AUTO THEFT,NORTHEASTERN,O,39.36562,6000 FALKIRK RD,POINT (-76.58716 39.36562),,,,,-76.58716,Ramblewood,414,STREET,1,
70,120,27954,4B,2017-09-24T00:00:00.000,21:35:00,AGG. ASSAULT,SOUTHEASTERN,O,39.29407,WOLFE ST & E FAYETTE ST,POINT (-76.59062 39.29407),,,,,-76.59062,Dunbar-Broadway,212,STREET,1,KNIFE
190,21,27301,5A,2017-09-29T00:00:00.000,21:50:00,BURGLARY,WESTERN,,39.31834,3400 HOLMES AVE,POINT (-76.64958 39.31834),,,,,-76.64958,Parkview/Woodbrook,732,,1,
84,10,27632,6D,2017-09-24T00:00:00.000,19:40:00,LARCENY FROM AUTO,WESTERN,,39.29268,300 N STRICKER ST,POINT (-76.64118 39.29268),,,,,-76.64118,Franklin Square,711,,1,
196,91,13645,7A,2017-09-27T00:00:00.000,11:08:00,AUTO THEFT,EASTERN,O,39.30001,900 FALLSWAY,POINT (-76.6108 39.30001),,,,,-76.6108,Penn-Fallsway,312,STREET,1,
97,61,13995,4E,2017-09-28T00:00:00.000,19:50:00,COMMON ASSAULT,NORTHWESTERN,O,39.3365,3600 BOWERS AVE,POINT (-76.70589 39.3365),,,,,-76.70589,Grove Park,623,STREET,1,HANDS
258,151,27953,5A,2017-09-24T00:00:00.000,0:00:00,BURGLARY,SOUTHERN,I,39.26416,2200 ANNAPOLIS RD,POINT (-76.63332 39.26416),,,,,-76.63332,Westport,921,ROW/TOWNHO,1,
239,52,27950,3AF,2017-09-29T00:00:00.000,17:48:00,ROBBERY - STREET,SOUTHWESTERN,O,39.29015,3800 OLD FREDERICK RD,POINT (-76.692 39.29015),,,,,-76.692,Uplands,822,STREET,1,FIREARM
8,129,27935,4C,2017-08-21T00:00:00.000,21:00:00,AGG. ASSAULT,SOUTHEASTERN,I,39.29613,3500 PULASKI HWY,POINT (-76.56868 39.29613),,,,,-76.56868,Baltimore Highlands,223,HOSP/NURS.,1,OTHER
60,242,27295,6D,2017-09-22T00:00:00.000,11:00:00,LARCENY FROM AUTO,NORTHERN,,39.35003,4900 LANIER AVE,POINT (-76.66192 39.35003),,,,,-76.66192,Cylburn,532,,1,
23,277,26956,4E,2017-09-25T00:00:00.000,14:10:00,COMMON ASSAULT,EASTERN,I,39.31259,2400 E NORTH AVE,POINT (-76.58373 39.31259),,,,,-76.58373,Broadway East,331,OTHER - IN,1,HANDS
236,9,27632,4F,2017-09-18T00:00:00.000,11:30:00,ASSAULT BY THREAT,SOUTHERN,I,39.28711,0 S GILMOR ST,POINT (-76.64234 39.28711),,,,,-76.64234,Union Square,933,SCHOOL,1,
213,75,27950,3B,2017-09-23T00:00:00.000,23:30:00,ROBBERY - STREET,SOUTHWESTERN,I,39.29369,4300 EDMONDSON AVE,POINT (-76.68716 39.29369),,,,,-76.68716,Rognel Heights,822,LIBRARY,1,
110,110,13645,3B,2017-09-27T00:00:00.000,9:50:00,ROBBERY - STREET,SOUTHEASTERN,O,39.2898,0 S FRONT ST,POINT (-76.60517 39.2898),,,,,-76.60517,Jonestown,211,STREET,1,
221,25,27301,9S,2015-12-30T00:00:00.000,1157,SHOOTING,WESTERN,Outside,39.30666,1800 BAKER ST,POINT (-76.6472 39.30666),,,,,-76.6472,Sandtown-Winchester,742,Street,1,FIREARM
10,160,13645,4A,2017-09-08T00:00:00.000,13:36:00,AGG. ASSAULT,EASTERN,O,39.31143,400 E NORTH AVE,POINT (-76.61083 39.31143),,,,,-76.61083,Barclay,341,STREET,1,FIREARM
61,38,27937,4E,2017-09-19T00:00:00.000,19:00:00,COMMON ASSAULT,SOUTHERN,,39.23286,1200 CAMBRIA ST,POINT (-76.59326 39.23286),,,,,-76.59326,Curtis Bay,911,,1,HANDS
61,38,27937,4E,2017-09-19T00:00:00.000,19:00:00,COMMON ASSAULT,SOUTHERN,,39.23286,1200 CAMBRIA ST,POINT (-76.59326 39.23286),,,,,-76.59326,Curtis Bay,911,,1,HANDS
229,212,27307,7A,2017-01-10T00:00:00.000,21:39:00,AUTO THEFT,NORTHEASTERN,,39.34604,1600 E COLD SPRING LN,POINT (-76.5884 39.34604),,,,,-76.5884,Stonewood-Pentwood-Winsto,413,,1,
205,234,14009,5D,2017-09-24T00:00:00.000,5:00:00,BURGLARY,NORTHERN,O,39.34809,400 RADNOR RD,POINT (-76.61067 39.34809),,,,,-76.61067,Radnor-Winston,521,SHED/GARAG,1,
224,94,13642,7A,2016-11-18T00:00:00.000,10:00:00,AUTO THEFT,CENTRAL,O,39.29803,400 ORCHARD ST,POINT (-76.62309 39.29803),,,,,-76.62309,Seton Hill,143,STREET,1,
117,138,27935,3AF,2017-09-23T00:00:00.000,22:14:00,ROBBERY - STREET,SOUTHEASTERN,O,39.28745,5700 EASTERN AVE,POINT (-76.54757 39.28745),,,,,-76.54757,Hopkins Bayview,241,STREET,1,FIREARM
117,138,27935,3AF,2017-09-23T00:00:00.000,22:14:00,ROBBERY - STREET,SOUTHEASTERN,O,39.28745,5700 EASTERN AVE,POINT (-76.54757 39.28745),,,,,-76.54757,Hopkins Bayview,241,STREET,1,FIREARM
200,247,27295,6D,2017-09-26T00:00:00.000,12:10:00,LARCENY FROM AUTO,NORTHWESTERN,O,39.35137,5300 ETHELBERT AVE,POINT (-76.67881 39.35137),,,,,-76.67881,Pimlico Good Neighbors,633,PARKING LO,1,
73,193,26956,4E,2017-09-25T00:00:00.000,10:20:00,COMMON ASSAULT,EASTERN,O,39.31193,NORTH AV & HARFORD AV,POINT (-76.59936 39.31193),,,,,-76.59936,Oliver,342,YARD,1,HANDS
192,119,27935,6D,2016-11-14T00:00:00.000,10:50:00,LARCENY FROM AUTO,SOUTHEASTERN,O,39.29349,100 N PORT ST,POINT (-76.58271 39.29349),,,,,-76.58271,Patterson Place,221,STREET,1,
8,129,27935,6G,2017-09-24T00:00:00.000,8:15:00,LARCENY,SOUTHEASTERN,I,39.29488,HIGHLAND AV & E FAYETTE ST,POINT (-76.56957 39.29488),,,,,-76.56957,Baltimore Highlands,222,RESTAURANT,1,
109,140,27935,6D,2017-09-17T00:00:00.000,5:30:00,LARCENY FROM AUTO,SOUTHEASTERN,O,39.29017,200 GRUNDY ST,POINT (-76.56354 39.29017),,,,,-76.56354,Highlandtown,231,STREET,1,
58,275,27295,6D,2017-09-26T00:00:00.000,13:00:00,LARCENY FROM AUTO,NORTHWESTERN,,39.3601,6300 WALLIS AVE,POINT (-76.69368 39.3601),,,,,-76.69368,Cross Country,632,,1,
201,8,13642,6J,2017-09-26T00:00:00.000,18:30:00,LARCENY,WESTERN,,39.29255,800 W SARATOGA ST,POINT (-76.63123 39.29255),,,,,-76.63123,Poppleton,712,,1,
216,81,27297,8H,2017-05-09T00:00:00.000,19:20:00,ARSON,SOUTHWESTERN,,39.30133,3200 WESTMONT AVE,POINT (-76.67003 39.30133),,,,,-76.67003,Rosemont,813,,1,
162,164,27953,6C,2017-09-24T00:00:00.000,16:14:00,LARCENY,SOUTHWESTERN,I,39.26449,2700 WASHINGTON BLVD,POINT (-76.65493 39.26449),,,,,-76.65493,Morrell Park,831,CONVENIENC,1,
134,162,27944,3B,2017-09-29T00:00:00.000,17:05:00,ROBBERY - STREET,SOUTHERN,I,39.25167,2300 W PATAPSCO AVE,POINT (-76.64716 39.25167),,,,,-76.64716,Lakeland,923,SHOPPING M,1,
65,6,13645,4E,2017-09-28T00:00:00.000,21:44:00,COMMON ASSAULT,CENTRAL,,39.29011,0 N CALVERT ST,POINT (-76.61236 39.29011),,,,,-76.61236,Downtown,111,,1,HANDS
11,168,27953,6D,2017-09-29T00:00:00.000,14:50:00,LARCENY FROM AUTO,SOUTHERN,,39.28429,1000 W BARRE ST,POINT (-76.62764 39.28429),,,,,-76.62764,Barre Circle,931,,1,
26,132,27937,5A,2017-09-22T00:00:00.000,12:30:00,BURGLARY,SOUTHERN,I,39.2305,800 HERNDON CT,POINT (-76.60137 39.2305),,,,,-76.60137,Brooklyn,913,ROW/TOWNHO,1,
83,45,27297,3AO,2017-09-19T00:00:00.000,10:00:00,ROBBERY - STREET,SOUTHWESTERN,I,39.31003,2000 N EDGEWOOD ST,POINT (-76.67597 39.31003),,,,,-76.67597,Fairmont,812,SCHOOL,1,OTHER
121,6,13645,6C,2017-09-30T00:00:00.000,10:46:00,LARCENY,CENTRAL,I,39.28657,100 E PRATT ST,POINT (-76.61334 39.28657),,,,,-76.61334,Inner Harbor,112,RETAIL/SMA,1,
134,162,27944,4C,2017-09-24T00:00:00.000,20:47:00,AGG. ASSAULT,SOUTHERN,O,39.25116,3200 HOLLINS FERRY RD,POINT (-76.64701 39.25116),,,,,-76.64701,Lakeland,923,STREET,1,OTHER
250,168,27953,6D,2017-09-23T00:00:00.000,20:20:00,LARCENY FROM AUTO,SOUTHERN,O,39.28291,900 WASHINGTON BLVD,POINT (-76.63134 39.28291),,,,,-76.63134,Washington Village/Pigtow,932,DRIVEWAY,1,
256,261,27291,6D,2017-09-24T00:00:00.000,21:00:00,LARCENY FROM AUTO,NORTHEASTERN,O,39.36278,6600 HARFORD RD,POINT (-76.55237 39.36278),,,,,-76.55237,Westfield,424,PARKING LO,1,
118,56,13995,5A,2017-09-26T00:00:00.000,10:00:00,BURGLARY,NORTHWESTERN,I,39.33053,3400 HOWARD PARK AVE,POINT (-76.699 39.33053),,,,,-76.699,Howard Park,622,ROW/TOWNHO,1,
54,159,27307,4E,2017-09-21T00:00:00.000,10:11:00,COMMON ASSAULT,NORTHEASTERN,I,39.31944,2500 KIRK AVE,POINT (-76.60077 39.31944),,,,,-76.60077,Coldstream Homestead Mont,411,SCHOOL,1,HANDS
199,228,28564,4F,2017-09-30T00:00:00.000,16:15:00,ASSAULT BY THREAT,NORTHEASTERN,O,39.35469,1500 NORTHBOURNE RD,POINT (-76.58757 39.35469),,,,,-76.58757,Perring Loch,415,ALLEY,1,
157,39,27301,9S,2017-08-24T00:00:00.000,1336,SHOOTING,WESTERN,Outside,39.31523,2100 WHITTIER AV,POINT (-76.65002 39.31523),,,,,-76.65002,Mondawmin,731,Street,1,FIREARM
84,9,27632,9S,2017-02-12T00:00:00.000,1054,SHOOTING,WESTERN,Outside,39.2878,1700 FREDERICK AV,POINT (-76.64396 39.2878),,,,,-76.64396,Franklin Square,711,Street,1,FIREARM
140,283,27295,5A,2017-09-28T00:00:00.000,20:30:00,BURGLARY,NORTHWESTERN,I,39.33979,4500 UMATILLA AVE,POINT (-76.67118 39.33979),,,,,-76.67118,Lucille Park,613,ROW/TOWNHO,1,
28,50,27295,6E,2017-09-25T00:00:00.000,21:00:00,LARCENY,NORTHWESTERN,,39.32965,3600 GARRISON BLVD,POINT (-76.68237 39.32965),,,,,-76.68237,Callaway-Garrison,642,,1,
31,131,27935,6C,2017-09-30T00:00:00.000,13:45:00,LARCENY,SOUTHEASTERN,I,39.27703,3500 BOSTON ST,POINT (-76.56732 39.27703),,,,,-76.56732,Canton Industrial Area,233,CLOTHING/S,1,
136,223,27291,6C,2017-09-25T00:00:00.000,1:10:00,LARCENY,NORTHEASTERN,I,39.3466,4900 HARFORD RD,POINT (-76.56642 39.3466),,,,,-76.56642,Lauraville,421,CONVENIENC,1,
269,284,27950,5B,2017-09-29T00:00:00.000,18:40:00,BURGLARY,SOUTHWESTERN,I,39.29614,700 LINNARD ST,POINT (-76.67561 39.29614),,,,,-76.67561,Edgewood,844,ROW/TOWNHO,1,
216,81,27297,4D,2016-11-16T00:00:00.000,14:00:00,AGG. ASSAULT,SOUTHWESTERN,O,39.30566,1600 N HILTON ST,POINT (-76.67215 39.30566),,,,,-76.67215,Rosemont,813,STREET,1,HANDS
34,65,27295,3AO,2017-09-24T00:00:00.000,6:46:00,ROBBERY - STREET,NORTHWESTERN,O,39.33527,3800 W COLD SPRING LN,POINT (-76.68016 39.33527),,,,,-76.68016,Dolfield,642,STREET,1,OTHER
7,67,27295,5A,2017-09-26T00:00:00.000,12:20:00,BURGLARY,NORTHWESTERN,I,39.32569,3200 DORCHESTER RD,POINT (-76.67003 39.32569),,,,,-76.67003,Ashburton,643,ROW/TOWNHO,1,
174,267,27957,4A,2017-09-30T00:00:00.000,6:29:00,AGG. ASSAULT,NORTHEASTERN,O,39.36985,2900 HARVIEW AVE,POINT (-76.54739 39.36985),,,,,-76.54739,North Harford Road,424,STREET,1,FIREARM
271,257,14009,3B,2017-09-25T00:00:00.000,7:53:00,ROBBERY - STREET,NORTHERN,I,39.36034,5800 YORK RD,POINT (-76.6099 39.36034),,,,,-76.6099,Belvedere,523,AUTO PARTS,1,
174,266,27957,4E,2017-09-26T00:00:00.000,13:00:00,COMMON ASSAULT,NORTHEASTERN,I,39.36586,7300 MOYER AVE,POINT (-76.54056 39.36586),,,,,-76.54056,North Harford Road,424,SCHOOL,1,HANDS
31,131,27935,6C,2017-09-25T00:00:00.000,16:48:00,LARCENY,SOUTHEASTERN,I,39.27705,3500 BOSTON ST,POINT (-76.56688 39.27705),,,,,-76.56688,Canton Industrial Area,233,DEPARTMENT,1,
250,177,27632,4C,2017-09-27T00:00:00.000,8:50:00,AGG. ASSAULT,SOUTHERN,,39.28574,1000 W PRATT ST,POINT (-76.63398 39.28574),,,,,-76.63398,Washington Village/Pigtow,932,,1,OTHER
250,177,27632,4C,2017-09-27T00:00:00.000,8:50:00,AGG. ASSAULT,SOUTHERN,,39.28574,1000 W PRATT ST,POINT (-76.63398 39.28574),,,,,-76.63398,Washington Village/Pigtow,932,,1,OTHER
56,29,27297,4E,2017-09-24T00:00:00.000,13:30:00,COMMON ASSAULT,WESTERN,,39.30869,1800 RUXTON AVE,POINT (-76.65509 39.30869),,,,,-76.65509,Coppin Heights/Ash-Co-Eas,723,,1,HANDS
110,110,13645,7A,2017-09-25T00:00:00.000,16:15:00,AUTO THEFT,SOUTHEASTERN,O,39.2892,EXETER ST & E LOMBARD ST,POINT (-76.60236 39.2892),,,,,-76.60236,Jonestown,211,STREET,1,
248,214,13991,4B,2017-09-25T00:00:00.000,17:03:00,AGG. ASSAULT,NORTHEASTERN,I,39.34137,3700 RIDGECROFT RD,POINT (-76.55898 39.34137),,,,,-76.55898,Waltherson,426,ROW/TOWNHO,1,KNIFE
77,185,27307,6D,2017-09-23T00:00:00.000,16:00:00,LARCENY FROM AUTO,NORTHEASTERN,O,39.33528,3900 EDNOR RD,POINT (-76.59923 39.33528),,,,,-76.59923,Ednor Gardens-Lakeside,412,STREET,1,
201,8,27632,7A,2017-09-29T00:00:00.000,11:25:00,AUTO THEFT,WESTERN,O,39.29085,0 N SCHROEDER ST,POINT (-76.6339 39.29085),,,,,-76.6339,Poppleton,712,STREET,1,
90,139,27935,7A,2017-09-24T00:00:00.000,23:00:00,AUTO THEFT,SOUTHEASTERN,O,39.28669,500 S NEWKIRK ST,POINT (-76.55658 39.28669),,,,,-76.55658,Greektown,242,STREET,1,
163,233,27297,5A,2017-09-24T00:00:00.000,23:42:00,BURGLARY,WESTERN,,39.29553,2700 HARLEM AVE,POINT (-76.66197 39.29553),,,,,-76.66197,Mosher,721,,1,
103,46,27297,2A,2017-07-21T00:00:00.000,13:46:19,RAPE,NORTHWESTERN,,39.31839,2800 N DUKELAND ST,POINT (-76.665 39.31839),,,,,-76.665,Hanlon-Longwood,611,,1,OTHER
68,287,27954,4B,2017-09-28T00:00:00.000,16:15:00,AGG. ASSAULT,SOUTHEASTERN,O,39.2884,200 S BROADWAY,POINT (-76.59353 39.2884),,,,,-76.59353,Fells Point,213,STREET,1,KNIFE
210,17,27301,6F,2017-09-29T00:00:00.000,17:06:00,LARCENY,CENTRAL,I,39.31634,2500 LINDEN AVE,POINT (-76.63612 39.31634),,,,,-76.63612,Reservoir Hill,133,APT/CONDO,1,
154,279,27632,6J,2017-09-30T00:00:00.000,3:55:00,LARCENY,SOUTHWESTERN,I,39.2782,900 MILLINGTON AVE,POINT (-76.6557 39.2782),,,,,-76.6557,Millhill,841,OTHER - IN,1,
93,225,27291,6J,2017-09-30T00:00:00.000,11:39:00,LARCENY,NORTHEASTERN,I,39.35382,5900 THEODORE AVE,POINT (-76.549 39.35382),,,,,-76.549,Glenham-Belhar,425,ROW/TOWNHO,1,
13,206,13991,3AF,2017-09-26T00:00:00.000,11:50:00,ROBBERY - STREET,NORTHEASTERN,O,39.3331,3400 PARKSIDE DR,POINT (-76.57176 39.3331),,,,,-76.57176,Belair-Parkside,422,DRIVEWAY,1,FIREARM
102,73,14006,5A,2017-09-22T00:00:00.000,8:30:00,BURGLARY,NORTHERN,,39.33204,3600 ROLAND AVE,POINT (-76.63269 39.33204),,,,,-76.63269,Hampden,531,,1,
47,149,27937,9S,2015-12-04T00:00:00.000,2124,SHOOTING,SOUTHERN,Inside,39.2477,2700 SPELMAN RD,POINT (-76.62897 39.2477),,,,,-76.62897,Cherry Hill,922,Dwelling,1,FIREARM
146,191,26956,6D,2017-12-15T00:00:00.000,11:00:00,LARCENY FROM AUTO,NORTHEASTERN,,39.33114,3600 HARFORD RD,POINT (-76.57986 39.33114),,,,,-76.57986,Mayfield,431,,1,
64,228,28564,1F,2014-10-10T00:00:00.000,2214,HOMICIDE,NORTHEASTERN,Inside,39.35952,5600 LOCH RAVEN BLVD,POINT (-76.58856 39.35952),,,,,-76.58856,Loch Raven,415,Hospital,1,FIREARM
98,33,27307,4E,2017-09-19T00:00:00.000,1:36:00,COMMON ASSAULT,NORTHERN,,39.32151,400 WHITRIDGE AVE,POINT (-76.60989 39.32151),,,,,-76.60989,Harwood,513,,1,HANDS
221,86,27301,8CV,2017-09-24T00:00:00.000,17:35:00,ARSON,WESTERN,,39.30145,1100 N MOUNT ST,POINT (-76.64455 39.30145),,,,,-76.64455,Sandtown-Winchester,743,,1,
196,92,13645,4D,2017-06-14T00:00:00.000,23:30:00,AGG. ASSAULT,EASTERN,O,39.29643,600 FALLSWAY,POINT (-76.60997 39.29643),,,,,-76.60997,Penn-Fallsway,312,STREET,1,HANDS
121,6,13645,6J,2017-09-23T00:00:00.000,23:45:00,LARCENY,CENTRAL,I,39.2867,600 E PRATT ST,POINT (-76.60774 39.2867),,,,,-76.60774,Inner Harbor,112,RESTAURANT,1,
214,27,14006,4E,2017-09-25T00:00:00.000,9:00:00,COMMON ASSAULT,NORTHERN,I,39.33723,700 W 40TH ST,POINT (-76.62859 39.33723),,,,,-76.62859,Roland Park,541,OFFICE BUI,1,HANDS
64,228,28564,4E,2017-09-28T00:00:00.000,4:00:00,COMMON ASSAULT,NORTHEASTERN,I,39.35952,5600 LOCH RAVEN BLVD,POINT (-76.58856 39.35952),,,,,-76.58856,Loch Raven,415,HOSP/NURS.,1,HANDS
114,7,27632,6J,2017-09-26T00:00:00.000,19:30:00,LARCENY,SOUTHERN,O,39.2873,0 S CAREY ST,POINT (-76.63803 39.2873),,,,,-76.63803,Hollins Market,931,STREET,1,
65,6,13645,6E,2017-09-06T00:00:00.000,12:00:00,LARCENY,CENTRAL,O,39.29148,200 GUILFORD AVE,POINT (-76.61114 39.29148),,,,,-76.61114,Downtown,111,STREET,1,
65,6,13645,3P,2017-09-24T00:00:00.000,12:30:00,ROBBERY - STREET,CENTRAL,I,39.29254,300 SAINT PAUL ST,POINT (-76.6135 39.29254),,,,,-76.6135,Downtown,111,HOSP/NURS.,1,
169,161,27953,4C,2017-07-28T00:00:00.000,0:01:00,AGG. ASSAULT,SOUTHERN,I,39.26264,2400 HURON ST,POINT (-76.6431 39.26264),,,,,-76.6431,Mount Winans,921,ROW/TOWNHO,1,OTHER
22,48,27297,3P,2017-09-19T00:00:00.000,7:30:00,ROBBERY - STREET,WESTERN,I,39.3006,1100 WHITMORE AVE,POINT (-76.65822 39.3006),,,,,-76.65822,Bridgeview/Greenlawn,723,SCHOOL,1,
240,117,27954,6F,2017-09-25T00:00:00.000,10:30:00,LARCENY,SOUTHEASTERN,O,39.28869,200 S MADEIRA ST,POINT (-76.58524 39.28869),,,,,-76.58524,Upper Fells Point,212,YARD,1,
260,49,27297,3AJF,2017-09-23T00:00:00.000,22:05:00,ROBBERY - CARJACKING,NORTHWESTERN,O,39.31908,2800 CHELSEA TER,POINT (-76.6818 39.31908),,,,,-76.6818,Windsor Hills,641,STREET,1,FIREARM
225,78,27632,6D,2017-09-29T00:00:00.000,13:30:00,LARCENY FROM AUTO,SOUTHWESTERN,O,39.28958,2600 W LEXINGTON ST,POINT (-76.65853 39.28958),,,,,-76.65853,Shipley Hill,842,OTHER - OU,1,
253,58,27297,7A,2017-09-27T00:00:00.000,20:15:00,AUTO THEFT,NORTHWESTERN,O,39.31892,4500 FAIRFAX RD,POINT (-76.69077 39.31892),,,,,-76.69077,West Forest Park,641,STREET,1,
176,134,27935,4E,2017-09-24T00:00:00.000,13:00:00,COMMON ASSAULT,SOUTHEASTERN,O,39.27635,6200 CARDIFF AVE,POINT (-76.5416 39.27635),,,,,-76.5416,O'Donnell Heights,243,BUS/AUTO,1,HANDS
269,284,27950,6D,2017-09-26T00:00:00.000,23:30:00,LARCENY FROM AUTO,SOUTHWESTERN,O,39.29607,700 N GRANTLEY ST,POINT (-76.67679 39.29607),,,,,-76.67679,Edgewood,844,STREET,1,
159,9,27632,5A,2017-09-29T00:00:00.000,17:00:00,BURGLARY,SOUTHERN,,39.2833,1500 RAMSAY ST,POINT (-76.64109 39.2833),,,,,-76.64109,New Southwest/Mount Clare,935,,1,
19,152,26956,4F,2017-09-26T00:00:00.000,11:15:00,ASSAULT BY THREAT,EASTERN,I,39.30497,2900 E BIDDLE ST,POINT (-76.5762 39.30497),,,,,-76.5762,Biddle Street,323,OTHER - IN,1,
195,39,27301,4E,2017-09-29T00:00:00.000,0:40:00,COMMON ASSAULT,WESTERN,,39.31271,2700 PENNSYLVANIA AVE,POINT (-76.64569 39.31271),,,,,-76.64569,Penn North,733,,1,HANDS
106,53,27632,4E,2016-11-14T00:00:00.000,20:40:00,COMMON ASSAULT,WESTERN,O,39.29442,500 N CAROLLTON,POINT (-76.63707 39.29442),,,,,-76.63707,Harlem Park,713,STREET,1,HANDS
46,207,13991,4E,2017-09-30T00:00:00.000,15:45:00,COMMON ASSAULT,NORTHEASTERN,O,39.32212,5000 SINCLAIR LN,POINT (-76.54803 39.32212),,,,,-76.54803,Frankford,443,PARKING LO,1,HANDS
137,169,27953,6D,2017-09-29T00:00:00.000,12:45:00,LARCENY FROM AUTO,SOUTHERN,O,39.26806,1700 E FORT AVE,POINT (-76.591 39.26806),,,,,-76.591,Locust Point,943,STREET,1,
250,177,27953,5D,2017-04-11T00:00:00.000,4:40:00,BURGLARY,SOUTHERN,I,39.28103,1200 WASHINGTON BLVD,POINT (-76.63497 39.28103),,,,,-76.63497,Washington Village/Pigtow,932,GROCERY/CO,1,
217,264,13991,5D,2017-09-27T00:00:00.000,0:35:00,BURGLARY,NORTHEASTERN,I,39.35437,6600 BELAIR RD,POINT (-76.53118 39.35437),,,,,-76.53118,Rosemont East,425,RESTAURANT,1,
137,169,27953,4E,2017-04-17T00:00:00.000,9:54:00,COMMON ASSAULT,SOUTHERN,O,39.26852,1600 E FORT AVE,POINT (-76.59228 39.26852),,,,,-76.59228,Locust Point,943,STREET,1,HANDS
210,18,27301,5A,2017-09-27T00:00:00.000,12:00:00,BURGLARY,CENTRAL,I,39.3109,2200 EUTAW PL,POINT (-76.63447 39.3109),,,,,-76.63447,Reservoir Hill,133,ROW/TOWNHO,1,
253,57,13995,6G,2017-09-27T00:00:00.000,15:00:00,LARCENY,SOUTHWESTERN,I,39.31509,5000 WETHEREDSVILLE RD,POINT (-76.70182 39.31509),,,,,-76.70182,West Forest Park,821,ROW/TOWNHO,1,
242,90,27301,4B,2017-09-30T00:00:00.000,20:20:00,AGG. ASSAULT,CENTRAL,O,39.30049,500 DOLPHIN ST,POINT (-76.62839 39.30049),,,,,-76.62839,Upton,123,BUS. PARK,1,KNIFE
23,154,26956,9S,2013-08-03T00:00:00.000,120,SHOOTING,EASTERN,Outside,39.30789,1500 RUTLAND AV,POINT (-76.59282 39.30789),,,,,-76.59282,Broadway East,331,,1,FIREARM
180,154,26956,9S,2015-06-14T00:00:00.000,1749,SHOOTING,EASTERN,Outside,39.3085,1600 E FEDERAL ST,POINT (-76.59636 39.3085),,,,,-76.59636,Oliver,343,Street,1,FIREARM
141,123,27935,5A,2017-09-26T00:00:00.000,8:00:00,BURGLARY,SOUTHEASTERN,I,39.29521,200 N BELNORD AVE,POINT (-76.57848 39.29521),,,,,-76.57848,McElderry Park,221,ROW/TOWNHO,1,
274,125,13987,6E,2017-09-23T00:00:00.000,11:02:00,LARCENY,EASTERN,O,39.29668,500 N PATTERSON PARK AVE,POINT (-76.58503 39.29668),,,,,-76.58503,CARE,321,STREET,1,
46,215,13991,6D,2017-09-25T00:00:00.000,19:20:00,LARCENY FROM AUTO,NORTHEASTERN,O,39.34346,AV & BELAIR RD,POINT (-76.54398 39.34346),,,,,-76.54398,Frankford,444,PARKING LO,1,
144,99,27301,6J,2017-09-25T00:00:00.000,5:10:00,LARCENY,CENTRAL,O,39.30693,300 WILSON ST,POINT (-76.63013 39.30693),,,,,-76.63013,Madison Park,132,STREET,1,
78,129,27935,3CF,2017-09-27T00:00:00.000,20:46:00,ROBBERY - COMMERCIAL,SOUTHEASTERN,I,39.29609,3400 PULASKI HWY,POINT (-76.56938 39.29609),,,,,-76.56938,Ellwood Park/Monument,224,RESTAURANT,1,FIREARM
35,76,27950,4F,2017-09-28T00:00:00.000,21:06:00,ASSAULT BY THREAT,SOUTHWESTERN,I,39.28671,0 N ROSEDALE ST,POINT (-76.66906 39.28671),,,,,-76.66906,Carroll-South Hilton,842,ROW/TOWNHO,1,
54,189,27307,4C,2017-09-27T00:00:00.000,18:05:00,AGG. ASSAULT,NORTHEASTERN,I,39.32277,2700 THE ALAMEDA,POINT (-76.59274 39.32277),,,,,-76.59274,Coldstream Homestead Mont,411,ROW/TOWNHO,1,OTHER
112,26,14006,6C,2017-09-25T00:00:00.000,9:30:00,LARCENY,NORTHERN,I,39.33756,1000 W 41ST ST,POINT (-76.63474 39.33756),,,,,-76.63474,Hoes Heights,541,GROCERY/CO,1,
187,72,27295,7A,2017-09-28T00:00:00.000,19:00:00,AUTO THEFT,NORTHWESTERN,O,39.3286,2800 ULMAN AVE,POINT (-76.66079 39.3286),,,,,-76.66079,Park Circle,612,STREET,1,
